#nrNodes nrCollisions nrTransmissions OverallEnergy
4000 1643 8100 1410.1807104000002
5000 2593 9955 1733.1295027200003
5000 2760 10207 1777.0017914880002
5000 2705 10028 1745.8385387520002
5000 2678 10107 1759.5921530880003
5000 2702 10063 1751.9319121920003
5000 2719 10096 1757.6770928640003
5000 2637 9876 1719.3758883840003
500 0 1048 182.453010432
500 0 1014 176.53373337600001
500 0 1002 174.44457676800002
500 0 1009 175.66325145600004
500 0 987 171.833131008
500 0 988 172.00722739200003
500 0 1046 182.10481766400002
500 0 968 168.52529971200002
500 0 1021 177.752408064
500 0 1014 176.53373337600001
1000 0 2050 356.89758720000003
1000 0 2025 352.54517760000005
1000 0 2084 362.81686425600003
1000 0 1987 345.929515008
1000 0 2027 352.89337036800003
1000 0 2052 357.2457799680001
1000 0 2063 359.160840192
1000 0 1955 340.35843072
1000 0 2056 357.94216550400006
1000 0 2087 363.3391534080001
2000 0 4000 696.3855360000001
2000 0 4136 720.0626442240001
2000 0 4018 699.519270912
2000 0 3948 687.332524032
2000 0 3841 668.7042109440001
2000 0 4055 705.9608371200002
2000 0 3948 687.332524032
2000 0 3927 683.676499968
2000 0 3925 683.3283072
2000 0 3930 684.1987891200001
3000 0 6018 1047.7120389120003
3000 0 6032 1050.1493882880002
3000 0 5915 1029.78011136
3000 0 6053 1053.805412352
3000 0 5974 1040.0517980160002
3000 0 5939 1033.9584245760002
3000 0 5999 1044.4042076160001
3000 0 6029 1049.6270991360002
3000 0 6006 1045.622882304
3000 0 6028 1049.4530027520002
5000 2551 10028 1745.8385387520002
5000 2676 10013 1743.227092992
5000 2661 10020 1744.4457676800002
4000 0 7997 1392.248782848
4000 0 8071 1405.131915264
4000 0 7986 1390.333722624
4000 0 8228 1432.4650475520002
4000 0 8172 1422.715650048
4000 0 7919 1378.6692648960002
4000 0 7956 1385.110831104
4000 0 8056 1402.5204695040002
4000 0 8087 1407.9174574080002
4000 0 8023 1396.7752888320003
5000 0 10166 1769.8638397440002
5000 0 9942 1730.8662497280002
5000 0 10114 1760.8108277760002
5000 0 10190 1774.0421529600003
5000 0 10217 1778.7427553280004
5000 0 10084 1755.5879362560004
5000 0 9997 1740.4415508480004
5000 0 9878 1719.7240811520003
5000 0 9984 1738.1782978560002
5000 0 9932 1729.1252858880002
500 42 1605 279.42469632000007
500 33 1504 261.84096153600007
500 80 1600 278.55421440000003
500 62 1646 286.56264806400003
500 41 1598 278.20602163200004
500 63 1657 288.47770828800003
500 48 1515 263.75602176
500 34 1531 266.54156390400004
500 62 1517 264.104214528
500 34 1594 277.509636096
1000 220 3167 551.363248128
